ID,Genus,Species,Strain,Sampling.site,Sampling.date,Analysis.date,Polarity,Medium,Strain.available
ID00005,Coscinodiscus ,wailesii,CW_Helg2016,Helgoland,8.2016,10.07.2018,positive,f/2,True
ID00006,Coscinodiscus ,wailesii,CW_Helg2016,Helgoland,8.2016,10.07.2018,positive,f/2,True
ID00007,Coscinodiscus ,wailesii,CW_Helg2016,Helgoland,8.2016,10.07.2018,positive,f/2,True
ID00017,Coscinodiscus ,radiatus,CR1_Helg2017,Helgoland,8.2017,07.08.2018,positive,f/2,True
ID00018,Coscinodiscus ,radiatus,CR1_Helg2017,Helgoland,8.2017,07.08.2018,positive,f/2,True
ID00019,Coscinodiscus ,radiatus,CR1_Helg2017,Helgoland,8.2017,07.08.2018,positive,f/2,True
ID00020,Coscinodiscus ,radiatus,CR1_Helg2017,Helgoland,8.2017,07.08.2018,positive,f/2,True
ID00044,Coscinodiscus ,granii,SCCAP-K1834,Denmark,2012,01.07.2018,positive,f/2,True
ID00045,Coscinodiscus ,granii,SCCAP-K1834,Denmark,2012,01.07.2018,positive,f/2,True
ID00046,Coscinodiscus ,granii,SCCAP-K1834,Denmark,2012,01.07.2018,positive,f/2,True
ID00047,Coscinodiscus ,granii,SCCAP-K1834,Denmark,2012,01.07.2018,positive,f/2,True
ID00048,Coscinodiscus ,granii,CG1_Helg2017,Helgoland,8.2017,07.08.2018,positive,f/2,True
ID00049,Coscinodiscus ,granii,CG1_Helg2017,Helgoland,8.2017,07.08.2018,positive,f/2,True
ID00050,Coscinodiscus ,granii,CG1_Helg2017,Helgoland,8.2017,07.08.2018,positive,f/2,True
ID00714,Coscinodiscus ,granii,Helg2016,Helgoland,8.2016,14.03.2019,positive,f/2,True
ID00715,Coscinodiscus ,granii,Helg2016,Helgoland,8.2016,14.03.2019,positive,f/2,True
ID00716,Coscinodiscus ,granii,Helg2016,Helgoland,8.2016,14.03.2019,positive,f/2,True
ID00717,Coscinodiscus ,granii,Helg2016,Helgoland,8.2016,14.03.2019,positive,f/2,True
ID00718,Coscinodiscus ,granii,Helg2016,Helgoland,8.2016,14.03.2019,positive,f/2,True
ID00719,Coscinodiscus ,granii,Helg2016,Helgoland,8.2016,14.03.2019,positive,f/2,True
ID00720,Coscinodiscus ,granii,Helg2016,Helgoland,8.2016,14.03.2019,positive,f/2,True
ID00721,Coscinodiscus ,granii,Helg2016,Helgoland,8.2016,14.03.2019,positive,f/2,True
ID00722,Coscinodiscus ,granii,Helg2016,Helgoland,8.2016,14.03.2019,positive,f/2,True
ID00723,Coscinodiscus ,granii,Helg2016,Helgoland,8.2016,14.03.2019,positive,f/2,True
ID00724,Coscinodiscus ,granii,Helg2016,Helgoland,8.2016,14.03.2019,positive,f/2,True
ID00725,Coscinodiscus ,granii,Helg2016,Helgoland,8.2016,14.03.2019,positive,f/2,True
ID00726,Coscinodiscus ,granii,Helg2016,Helgoland,8.2016,14.03.2019,positive,f/2,True
ID00727,Coscinodiscus ,granii,Helg2016,Helgoland,8.2016,14.03.2019,positive,f/2,True
ID00728,Coscinodiscus ,granii,Helg2016,Helgoland,8.2016,14.03.2019,positive,f/2,True
ID00729,Coscinodiscus ,granii,Helg2016,Helgoland,8.2016,14.03.2019,positive,f/2,True
ID00730,Coscinodiscus ,granii,Helg2016,Helgoland,8.2016,14.03.2019,positive,f/2,True
ID00731,Coscinodiscus ,granii,Helg2016,Helgoland,8.2016,14.03.2019,positive,f/2,True
ID00732,Coscinodiscus ,granii,Helg2016,Helgoland,8.2016,14.03.2019,positive,f/2,True
ID00733,Coscinodiscus ,granii,Helg2016,Helgoland,8.2016,14.03.2019,positive,f/2,True
ID00734,Coscinodiscus ,granii,SCCAP-K1834,Denmark,2012,14.03.2019,positive,f/2,True
ID00735,Coscinodiscus ,granii,SCCAP-K1834,Denmark,2012,14.03.2019,positive,f/2,True
ID00736,Coscinodiscus ,granii,SCCAP-K1834,Denmark,2012,14.03.2019,positive,f/2,True
ID00737,Coscinodiscus ,granii,SCCAP-K1834,Denmark,2012,14.03.2019,positive,f/2,True
ID00738,Coscinodiscus ,granii,SCCAP-K1834,Denmark,2012,14.03.2019,positive,f/2,True
ID00739,Coscinodiscus ,granii,SCCAP-K1834,Denmark,2012,14.03.2019,positive,f/2,True
ID00740,Coscinodiscus ,granii,SCCAP-K1834,Denmark,2012,14.03.2019,positive,f/2,True
ID00741,Coscinodiscus ,granii,SCCAP-K1834,Denmark,2012,14.03.2019,positive,f/2,True
ID00742,Coscinodiscus ,granii,SCCAP-K1834,Denmark,2012,14.03.2019,positive,f/2,True
ID00743,Coscinodiscus ,granii,SCCAP-K1834,Denmark,2012,14.03.2019,positive,f/2,True
ID00744,Coscinodiscus ,granii,SCCAP-K1834,Denmark,2012,14.03.2019,positive,f/2,True
ID00745,Coscinodiscus ,granii,SCCAP-K1834,Denmark,2012,14.03.2019,positive,f/2,True
ID00746,Coscinodiscus ,granii,SCCAP-K1834,Denmark,2012,14.03.2019,positive,f/2,True
ID00762,Coscinodiscus ,wailesii,Helg2016,Helgoland,8.2016,13.03.2019,positive,f/2,True
ID00763,Coscinodiscus ,wailesii,Helg2016,Helgoland,8.2016,13.03.2019,positive,f/2,True
ID00764,Coscinodiscus ,wailesii,Helg2016,Helgoland,8.2016,13.03.2019,positive,f/2,True
ID00765,Coscinodiscus ,wailesii,Helg2016,Helgoland,8.2016,13.03.2019,positive,f/2,True
ID00766,Coscinodiscus ,wailesii,Helg2016,Helgoland,8.2016,13.03.2019,positive,f/2,True
ID00767,Coscinodiscus ,wailesii,Helg2016,Helgoland,8.2016,13.03.2019,positive,f/2,True
ID00768,Coscinodiscus ,wailesii,Helg2016,Helgoland,8.2016,13.03.2019,positive,f/2,True
ID00769,Coscinodiscus ,wailesii,Helg2016,Helgoland,8.2016,13.03.2019,positive,f/2,True
ID00770,Coscinodiscus ,wailesii,Helg2016,Helgoland,8.2016,13.03.2019,positive,f/2,True
ID00771,Coscinodiscus ,wailesii,Helg2016,Helgoland,8.2016,13.03.2019,positive,f/2,True
ID00473,Coscinodiscus ,radiatus,CR1,Helgoland,8.2017,11.03.2019,positive,f/2,True
ID00474,Coscinodiscus ,radiatus,CR1,Helgoland,8.2017,11.03.2019,positive,f/2,True
ID00475,Coscinodiscus ,radiatus,CR1,Helgoland,8.2017,11.03.2019,positive,f/2,True
ID00476,Coscinodiscus ,radiatus,CR1,Helgoland,8.2017,11.03.2019,positive,f/2,True
ID00477,Coscinodiscus ,radiatus,CR1,Helgoland,8.2017,11.03.2019,positive,f/2,True
ID00478,Coscinodiscus ,radiatus,CR1,Helgoland,8.2017,11.03.2019,positive,f/2,True
ID00479,Coscinodiscus ,radiatus,CR1,Helgoland,8.2017,11.03.2019,positive,f/2,True
ID00480,Coscinodiscus ,radiatus,CR1,Helgoland,8.2017,11.03.2019,positive,f/2,True
ID00481,Coscinodiscus ,radiatus,CR1,Helgoland,8.2017,11.03.2019,positive,f/2,True
ID00482,Coscinodiscus ,radiatus,CR1,Helgoland,8.2017,11.03.2019,positive,f/2,True
ID00483,Coscinodiscus ,radiatus,CR1,Helgoland,8.2017,11.03.2019,positive,f/2,True
ID00484,Coscinodiscus ,radiatus,CR1,Helgoland,8.2017,11.03.2019,positive,f/2,True
ID00485,Coscinodiscus ,radiatus,CR1,Helgoland,8.2017,11.03.2019,positive,f/2,True
ID00486,Coscinodiscus ,radiatus,CR1,Helgoland,8.2017,11.03.2019,positive,f/2,True
ID00418,Thalassiosira ,punctigera,RCC4667,English channel,5.2015,11.09.2018,positive,f/2,True
ID00419,Thalassiosira ,punctigera,RCC4667,English channel,5.2015,11.09.2018,positive,f/2,True
ID00420,Thalassiosira ,punctigera,RCC4667,English channel,5.2015,11.09.2018,positive,f/2,True
ID00421,Thalassiosira ,punctigera,RCC4667,English channel,5.2015,11.09.2018,positive,f/2,True
ID00422,Thalassiosira ,punctigera,RCC4667,English channel,5.2015,11.09.2018,positive,f/2,True
ID00423,Thalassiosira ,punctigera,RCC4667,English channel,5.2015,11.09.2018,positive,f/2,True
ID00424,Thalassiosira ,punctigera,RCC4667,English channel,5.2015,11.09.2018,positive,f/2,True
ID00425,Thalassiosira ,punctigera,RCC4667,English channel,5.2015,11.09.2018,positive,f/2,True
ID00426,Thalassiosira ,punctigera,RCC4667,English channel,5.2015,11.09.2018,positive,f/2,True
ID00427,Thalassiosira ,punctigera,RCC4667,English channel,5.2015,11.09.2018,positive,f/2,True
ID00428,Thalassiosira ,punctigera,RCC4667,English channel,5.2015,11.09.2018,positive,f/2,True
ID00403,Lauderia,annulata,RCC2561,English channel,1.2011,11.09.2018,positive,f/2,True
ID00404,Lauderia,annulata,RCC2561,English channel,1.2011,11.09.2018,positive,f/2,True
ID00405,Lauderia,annulata,RCC2561,English channel,1.2011,11.09.2018,positive,f/2,True
ID00406,Lauderia,annulata,RCC2561,English channel,1.2011,11.09.2018,positive,f/2,True
ID00407,Lauderia,annulata,RCC2561,English channel,1.2011,11.09.2018,positive,f/2,True
ID00408,Lauderia,annulata,RCC2561,English channel,1.2011,11.09.2018,positive,f/2,True
ID00429,Guinardia ,flaccida,RCC5791,English channel,6.2017,11.09.2018,positive,f/2,True
ID00430,Guinardia ,flaccida,RCC5791,English channel,6.2017,11.09.2018,positive,f/2,True
ID00431,Guinardia ,flaccida,RCC5791,English channel,6.2017,11.09.2018,positive,f/2,True
ID00432,Guinardia ,flaccida,RCC5791,English channel,6.2017,11.09.2018,positive,f/2,True
ID00433,Guinardia ,flaccida,RCC5791,English channel,6.2017,11.09.2018,positive,f/2,True
ID00434,Guinardia ,flaccida,RCC5791,English channel,6.2017,11.09.2018,positive,f/2,True
ID00243,Chaetoceros,cf. wighamii,RCC3008,Denmark,4.201,05.07.2018,positive,f/2,True
ID00244,Chaetoceros,cf. wighamii,RCC3008,Denmark,4.201,05.07.2018,positive,f/2,True
ID00245,Chaetoceros,cf. wighamii,RCC3008,Denmark,4.201,05.07.2018,positive,f/2,True
ID00246,Chaetoceros,cf. wighamii,RCC3008,Denmark,4.201,05.07.2018,positive,f/2,True
ID00247,Chaetoceros,cf. wighamii,RCC3008,Denmark,4.201,05.07.2018,positive,f/2,True
ID00248,Chaetoceros,cf. wighamii,RCC3008,Denmark,4.201,05.07.2018,positive,f/2,True
ID00249,Chaetoceros,cf. wighamii,RCC3008,Denmark,4.201,05.07.2018,positive,f/2,True
ID00250,Chaetoceros,cf. wighamii,RCC3008,Denmark,4.201,05.07.2018,positive,f/2,True
ID00251,Chaetoceros,cf. wighamii,RCC3008,Denmark,4.201,05.07.2018,positive,f/2,True
