ID,Genus,Species,Strain,Sampling.site,Sampling.date,Analysis.date,Polarity,Medium,Strain.available
ID00012,Coscinodiscus ,wailesii,CW_Helg2016,Helgoland,8.2016,10.07.2018,negative,f/2,TRUE
ID00013,Coscinodiscus ,wailesii,CW_Helg2016,Helgoland,8.2016,10.07.2018,negative,f/2,TRUE
ID00027,Coscinodiscus ,radiatus,CR1_Helg2016,Helgoland,8.2017,01.07.2018,negative,f/2,TRUE
ID00028,Coscinodiscus ,radiatus,CR1_Helg2016,Helgoland,8.2017,01.07.2018,negative,f/2,TRUE
ID00029,Coscinodiscus ,radiatus,CR1_Helg2016,Helgoland,8.2017,01.07.2018,negative,f/2,TRUE
ID00051,Coscinodiscus ,granii,CG1_Helg2017,Helgoland,8.2017,07.08.2018,negative,f/2,TRUE
ID00052,Coscinodiscus ,granii,CG1_Helg2017,Helgoland,8.2017,07.08.2018,negative,f/2,TRUE
ID00053,Coscinodiscus ,granii,CG1_Helg2017,Helgoland,8.2017,07.08.2018,negative,f/2,TRUE
ID00054,Coscinodiscus ,granii,CG1_Helg2017,Helgoland,8.2017,07.08.2018,negative,f/2,TRUE
ID00055,Coscinodiscus ,granii,CG_Helg2016,Helgoland,8.2016,01.07.2018,negative,f/2,TRUE
ID00056,Coscinodiscus ,granii,CG_Helg2016,Helgoland,8.2016,01.07.2018,negative,f/2,TRUE
ID00057,Coscinodiscus ,granii,CG_Helg2016,Helgoland,8.2016,01.07.2018,negative,f/2,TRUE
ID00595,Coscinodiscus ,granii,Helg2016,Helgoland,8.2016,14.03.2019,negative,f/2,TRUE
ID00596,Coscinodiscus ,granii,Helg2016,Helgoland,8.2016,14.03.2019,negative,f/2,TRUE
ID00597,Coscinodiscus ,granii,Helg2016,Helgoland,8.2016,14.03.2019,negative,f/2,TRUE
ID00598,Coscinodiscus ,granii,Helg2016,Helgoland,8.2016,14.03.2019,negative,f/2,TRUE
ID00599,Coscinodiscus ,granii,Helg2016,Helgoland,8.2016,14.03.2019,negative,f/2,TRUE
ID00600,Coscinodiscus ,granii,Helg2016,Helgoland,8.2016,14.03.2019,negative,f/2,TRUE
ID00601,Coscinodiscus ,granii,Helg2016,Helgoland,8.2016,14.03.2019,negative,f/2,TRUE
ID00602,Coscinodiscus ,granii,Helg2016,Helgoland,8.2016,14.03.2019,negative,f/2,TRUE
ID00603,Coscinodiscus ,granii,Helg2016,Helgoland,8.2016,14.03.2019,negative,f/2,TRUE
ID00604,Coscinodiscus ,granii,Helg2016,Helgoland,8.2016,14.03.2019,negative,f/2,TRUE
ID00605,Coscinodiscus ,granii,Helg2016,Helgoland,8.2016,14.03.2019,negative,f/2,TRUE
ID00606,Coscinodiscus ,granii,Helg2016,Helgoland,8.2016,14.03.2019,negative,f/2,TRUE
ID00607,Coscinodiscus ,granii,Helg2016,Helgoland,8.2016,14.03.2019,negative,f/2,TRUE
ID00608,Coscinodiscus ,granii,Helg2016,Helgoland,8.2016,14.03.2019,negative,f/2,TRUE
ID00609,Coscinodiscus ,granii,Helg2016,Helgoland,8.2016,14.03.2019,negative,f/2,TRUE
ID00610,Coscinodiscus ,granii,Helg2016,Helgoland,8.2016,14.03.2019,negative,f/2,TRUE
ID00611,Coscinodiscus ,granii,Helg2016,Helgoland,8.2016,14.03.2019,negative,f/2,TRUE
ID00612,Coscinodiscus ,granii,Helg2016,Helgoland,8.2016,14.03.2019,negative,f/2,TRUE
ID00629,Coscinodiscus ,radiatus,Helg2017,Helgoland,8.2017,11.03.2019,negative,f/2,TRUE
ID00630,Coscinodiscus ,radiatus,Helg2017,Helgoland,8.2017,11.03.2019,negative,f/2,TRUE
ID00631,Coscinodiscus ,radiatus,Helg2017,Helgoland,8.2017,11.03.2019,negative,f/2,TRUE
ID00632,Coscinodiscus ,radiatus,Helg2017,Helgoland,8.2017,11.03.2019,negative,f/2,TRUE
ID00633,Coscinodiscus ,radiatus,Helg2017,Helgoland,8.2017,11.03.2019,negative,f/2,TRUE
ID00634,Coscinodiscus ,radiatus,Helg2017,Helgoland,8.2017,11.03.2019,negative,f/2,TRUE
ID00635,Coscinodiscus ,radiatus,Helg2017,Helgoland,8.2017,11.03.2019,negative,f/2,TRUE
ID00636,Coscinodiscus ,radiatus,Helg2017,Helgoland,8.2017,11.03.2019,negative,f/2,TRUE
ID00637,Coscinodiscus ,radiatus,Helg2017,Helgoland,8.2017,11.03.2019,negative,f/2,TRUE
ID00638,Coscinodiscus ,radiatus,Helg2017,Helgoland,8.2017,11.03.2019,negative,f/2,TRUE
ID00639,Coscinodiscus ,radiatus,Helg2017,Helgoland,8.2017,11.03.2019,negative,f/2,TRUE
ID00640,Coscinodiscus ,radiatus,Helg2017,Helgoland,8.2017,11.03.2019,negative,f/2,TRUE
ID00641,Coscinodiscus ,radiatus,Helg2017,Helgoland,8.2017,11.03.2019,negative,f/2,TRUE
ID00642,Coscinodiscus ,wailesii,Helg2016,Helgoland,8.2016,13.03.2019,negative,f/2,TRUE
ID00643,Coscinodiscus ,wailesii,Helg2016,Helgoland,8.2016,13.03.2019,negative,f/2,TRUE
ID00644,Coscinodiscus ,wailesii,Helg2016,Helgoland,8.2016,13.03.2019,negative,f/2,TRUE
ID00645,Coscinodiscus ,wailesii,Helg2016,Helgoland,8.2016,13.03.2019,negative,f/2,TRUE
ID00646,Coscinodiscus ,wailesii,Helg2016,Helgoland,8.2016,13.03.2019,negative,f/2,TRUE
ID00647,Coscinodiscus ,wailesii,Helg2016,Helgoland,8.2016,13.03.2019,negative,f/2,TRUE
ID00648,Coscinodiscus ,wailesii,Helg2016,Helgoland,8.2016,13.03.2019,negative,f/2,TRUE
ID00649,Coscinodiscus ,wailesii,Helg2016,Helgoland,8.2016,13.03.2019,negative,f/2,TRUE
ID00650,Coscinodiscus ,wailesii,Helg2016,Helgoland,8.2016,13.03.2019,negative,f/2,TRUE
ID00651,Coscinodiscus ,wailesii,Helg2016,Helgoland,8.2016,13.03.2019,negative,f/2,TRUE
ID00652,Coscinodiscus ,wailesii,Helg2016,Helgoland,8.2016,13.03.2019,negative,f/2,TRUE
ID00653,Coscinodiscus ,wailesii,Helg2016,Helgoland,8.2016,13.03.2019,negative,f/2,TRUE
ID00654,Coscinodiscus ,wailesii,Helg2016,Helgoland,8.2016,13.03.2019,negative,f/2,TRUE
ID00655,Coscinodiscus ,wailesii,Helg2016,Helgoland,8.2016,13.03.2019,negative,f/2,TRUE
ID00252,Chaetoceros,cf.wighamii,RCC3008,Denmark,4.201,05.07.2018,negative,f/2,TRUE
ID00253,Chaetoceros,cf.wighamii,RCC3008,Denmark,4.201,05.07.2018,negative,f/2,TRUE
ID00254,Chaetoceros,cf.wighamii,RCC3008,Denmark,4.201,05.07.2018,negative,f/2,TRUE
ID00255,Chaetoceros,cf.wighamii,RCC3008,Denmark,4.201,05.07.2018,negative,f/2,TRUE
