ID,Genus,Species,Strain,Sampling.site,Sampling.date,Analysis.date,Polarity,Medium,Strain.available
ID00710,Ceratium,sp.,G-P9-6,Greece,5.2018,14.03.2019,positive,f/2,TRUE
ID00711,Ceratium,sp.,G-P9-6,Greece,5.2018,14.03.2019,positive,f/2,TRUE
ID00712,Ceratium,sp.,G-P9-6,Greece,5.2018,14.03.2019,positive,f/2,TRUE
ID00713,Ceratium,sp.,G-P9-6,Greece,5.2018,14.03.2019,positive,f/2,TRUE
ID00069,Chaetoceros,didymus,Na20B4,Italy Gulf of Naples,7.2014,16.05.2018,positive,f/2,TRUE
ID00070,Chaetoceros,didymus,Na20B4,Italy Gulf of Naples,7.2014,16.05.2018,positive,f/2,TRUE
ID00071,Chaetoceros,didymus,Na20B4,Italy Gulf of Naples,7.2014,16.05.2018,positive,f/2,TRUE
ID00072,Chaetoceros,didymus,Na20B4,Italy Gulf of Naples,7.2014,16.05.2018,positive,f/2,TRUE
ID00073,Chaetoceros,didymus,Na20B4,Italy Gulf of Naples,7.2014,16.05.2018,positive,f/2,TRUE
ID00074,Chaetoceros,didymus,Na20B4,Italy Gulf of Naples,7.2014,16.05.2018,positive,f/2,TRUE
ID00075,Chaetoceros,didymus,Na20B4,Italy Gulf of Naples,7.2014,16.05.2018,positive,f/2,TRUE
ID00076,Chaetoceros,didymus,Na20B4,Italy Gulf of Naples,7.2014,16.05.2018,positive,f/2,TRUE
ID00077,Chaetoceros,didymus,Na20B4,Italy Gulf of Naples,7.2014,16.05.2018,positive,f/2,TRUE
ID00078,Chaetoceros,didymus,Na20B4,Italy Gulf of Naples,7.2014,16.05.2018,positive,f/2,TRUE
ID00079,Chaetoceros,didymus,Na20B4,Italy Gulf of Naples,7.2014,05.07.2018,positive,f/2,TRUE
ID00080,Chaetoceros,didymus,Na20B4,Italy Gulf of Naples,7.2014,05.07.2018,positive,f/2,TRUE
ID00081,Chaetoceros,didymus,Na20B4,Italy Gulf of Naples,7.2014,05.07.2018,positive,f/2,TRUE
ID00082,Chaetoceros,didymus,Na20B4,Italy Gulf of Naples,7.2014,05.07.2018,positive,f/2,TRUE
ID00083,Chaetoceros,didymus,Na20B4,Italy Gulf of Naples,7.2014,05.07.2018,positive,f/2,TRUE
ID00084,Chaetoceros,didymus,Na20B4,Italy Gulf of Naples,7.2014,05.07.2018,positive,f/2,TRUE
ID00085,Chaetoceros,didymus,Na20B4,Italy Gulf of Naples,7.2014,05.07.2018,positive,f/2,TRUE
ID00113,Chaetoceros,sp.,G-P-1-1,Greece,5.2018,16.05.2018,positive,f/2,FALSE
ID00114,Chaetoceros,sp.,G-P-1-1,Greece,5.2018,16.05.2018,positive,f/2,FALSE
ID00115,Chaetoceros,sp.,G-P-1-1,Greece,5.2018,16.05.2018,positive,f/2,FALSE
ID00116,Chaetoceros,sp.,G-P-1-1,Greece,5.2018,16.05.2018,positive,f/2,FALSE
ID00117,Chaetoceros,sp.,G-P-1-1,Greece,5.2018,16.05.2018,positive,f/2,FALSE
ID00118,Chaetoceros,sp.,G-P-1-1,Greece,5.2018,16.05.2018,positive,f/2,FALSE
ID00119,Chaetoceros,sp.,G-P-1-1,Greece,5.2018,16.05.2018,positive,f/2,FALSE
ID00120,Chaetoceros,sp.,G-P-1-1,Greece,5.2018,16.05.2018,positive,f/2,FALSE
ID00121,Chaetoceros,sp.,G-P-1-1,Greece,5.2018,16.05.2018,positive,f/2,FALSE
ID00122,Chaetoceros,sp.,G-P-1-1,Greece,5.2018,16.05.2018,positive,f/2,FALSE
ID00123,Chaetoceros,sp.,G-P-1-1,Greece,5.2018,16.05.2018,positive,f/2,FALSE
ID00124,Chaetoceros,sp.,G-P-1-1,Greece,5.2018,16.05.2018,positive,f/2,FALSE
ID00125,Chaetoceros,sp.,G-P-1-1,Greece,5.2018,16.05.2018,positive,f/2,FALSE
ID00126,Chaetoceros,sp.,G-P-1-1,Greece,5.2018,16.05.2018,positive,f/2,FALSE
ID00127,Chaetoceros,sp.,G-P-4-4,Greece,5.2018,17.05.2018,positive,f/2,FALSE
ID00128,Chaetoceros,sp.,G-P-4-4,Greece,5.2018,17.05.2018,positive,f/2,FALSE
ID00129,Chaetoceros,sp.,G-P-4-4,Greece,5.2018,17.05.2018,positive,f/2,FALSE
ID00130,Chaetoceros,sp.,G-P-4-4,Greece,5.2018,17.05.2018,positive,f/2,FALSE
ID00131,Chaetoceros,sp.,G-P-4-4,Greece,5.2018,17.05.2018,positive,f/2,FALSE
ID00132,Chaetoceros,sp.,G-P-4-4,Greece,5.2018,17.05.2018,positive,f/2,FALSE
ID00133,Chaetoceros,sp.,G-P-4-4,Greece,5.2018,17.05.2018,positive,f/2,FALSE
ID00134,Chaetoceros,sp.,G-P-4-4,Greece,5.2018,17.05.2018,positive,f/2,FALSE
ID00135,Chaetoceros,sp.,G-P-4-4,Greece,5.2018,17.05.2018,positive,f/2,FALSE
ID00136,Chaetoceros,sp.,G-P-4-4,Greece,5.2018,17.05.2018,positive,f/2,FALSE
ID00137,Chaetoceros,sp.,G-P-4-4,Greece,5.2018,17.05.2018,positive,f/2,FALSE
ID00138,Chaetoceros,sp.,G-P-4-4,Greece,5.2018,05.07.2018,positive,f/2,FALSE
ID00139,Chaetoceros,sp.,G-P-4-4,Greece,5.2018,05.07.2018,positive,f/2,FALSE
ID00140,Chaetoceros,sp.,G-P-4-4,Greece,5.2018,05.07.2018,positive,f/2,FALSE
ID00141,Chaetoceros,sp.,G-P-4-4,Greece,5.2018,05.07.2018,positive,f/2,FALSE
ID00142,Chaetoceros,sp.,G-P-4-4,Greece,5.2018,05.07.2018,positive,f/2,FALSE
ID00143,Chaetoceros,sp.,G-P-4-4,Greece,5.2018,05.07.2018,positive,f/2,FALSE
ID00144,Chaetoceros,sp.,G-P-4-4,Greece,5.2018,05.07.2018,positive,f/2,FALSE
ID00145,Chaetoceros,sp.,G-P-4-4,Greece,5.2018,05.07.2018,positive,f/2,FALSE
ID00146,Chaetoceros,sp.,G-P-4-4,Greece,5.2018,05.07.2018,positive,f/2,FALSE
ID00147,Chaetoceros,sp.,G-P-4-4,Greece,5.2018,05.07.2018,positive,f/2,FALSE
ID00148,Chaetoceros,sp.,G-P-6-3,Greece,5.2018,05.07.2018,positive,f/2,FALSE
ID00149,Chaetoceros,sp.,G-P-6-3,Greece,5.2018,05.07.2018,positive,f/2,FALSE
ID00150,Chaetoceros,sp.,G-P-6-3,Greece,5.2018,05.07.2018,positive,f/2,FALSE
ID00151,Chaetoceros,sp.,G-P-6-3,Greece,5.2018,05.07.2018,positive,f/2,FALSE
ID00152,Chaetoceros,sp.,G-P-6-3,Greece,5.2018,05.07.2018,positive,f/2,FALSE
ID00167,Chaetoceros,sp.,G-P-7-4,Greece,5.2018,05.07.2018,positive,f/2,FALSE
ID00168,Chaetoceros,sp.,G-P-7-4,Greece,5.2018,05.07.2018,positive,f/2,FALSE
ID00169,Chaetoceros,sp.,G-P-7-4,Greece,5.2018,05.07.2018,positive,f/2,FALSE
ID00170,Chaetoceros,sp.,G-P-7-4,Greece,5.2018,05.07.2018,positive,f/2,FALSE
ID00171,Chaetoceros,sp.,G-P-7-4,Greece,5.2018,05.07.2018,positive,f/2,FALSE
ID00172,Chaetoceros,sp.,G-P-7-4,Greece,5.2018,05.07.2018,positive,f/2,FALSE
ID00173,Chaetoceros,sp.,G-P-7-4,Greece,5.2018,05.07.2018,positive,f/2,FALSE
ID00174,Chaetoceros,sp.,G-P-7-4,Greece,5.2018,05.07.2018,positive,f/2,FALSE
ID00175,Chaetoceros,sp.,G-P-7-4,Greece,5.2018,05.07.2018,positive,f/2,FALSE
ID00176,Chaetoceros,sp.,G-P-7-4,Greece,5.2018,16.05.2018,positive,f/2,FALSE
ID00177,Chaetoceros,sp.,G-P-7-4,Greece,5.2018,16.05.2018,positive,f/2,FALSE
ID00178,Chaetoceros,sp.,G-P-7-4,Greece,5.2018,16.05.2018,positive,f/2,FALSE
ID00179,Chaetoceros,sp.,G-P-7-4,Greece,5.2018,16.05.2018,positive,f/2,FALSE
ID00180,Chaetoceros,sp.,G-P-7-4,Greece,5.2018,16.05.2018,positive,f/2,FALSE
ID00181,Chaetoceros,sp.,G-P-7-4,Greece,5.2018,16.05.2018,positive,f/2,FALSE
ID00182,Chaetoceros,sp.,G-P-7-4,Greece,5.2018,16.05.2018,positive,f/2,FALSE
ID00183,Chaetoceros,sp.,G-P-7-4,Greece,5.2018,16.05.2018,positive,f/2,FALSE
ID00184,Chaetoceros,sp.,G-P-7-4,Greece,5.2018,16.05.2018,positive,f/2,FALSE
ID00185,Chaetoceros,sp.,G-P-7-4,Greece,5.2018,16.05.2018,positive,f/2,FALSE
ID00243,Chaetoceros,cf. wighamii,RCC3008,Denmark,4.201,05.07.2018,positive,f/2,TRUE
ID00244,Chaetoceros,cf. wighamii,RCC3008,Denmark,4.201,05.07.2018,positive,f/2,TRUE
ID00245,Chaetoceros,cf. wighamii,RCC3008,Denmark,4.201,05.07.2018,positive,f/2,TRUE
ID00246,Chaetoceros,cf. wighamii,RCC3008,Denmark,4.201,05.07.2018,positive,f/2,TRUE
ID00247,Chaetoceros,cf. wighamii,RCC3008,Denmark,4.201,05.07.2018,positive,f/2,TRUE
ID00248,Chaetoceros,cf. wighamii,RCC3008,Denmark,4.201,05.07.2018,positive,f/2,TRUE
ID00249,Chaetoceros,cf. wighamii,RCC3008,Denmark,4.201,05.07.2018,positive,f/2,TRUE
ID00250,Chaetoceros,cf. wighamii,RCC3008,Denmark,4.201,05.07.2018,positive,f/2,TRUE
ID00251,Chaetoceros,cf. wighamii,RCC3008,Denmark,4.201,05.07.2018,positive,f/2,TRUE
ID00440,Chaetoceros,diadema,RCC1717,English channel,5.2008,11.03.2019,positive,f/2,TRUE
ID00441,Chaetoceros,diadema,RCC1717,English channel,5.2008,11.03.2019,positive,f/2,TRUE
ID00442,Chaetoceros,diadema,RCC1717,English channel,5.2008,11.03.2019,positive,f/2,TRUE
ID00443,Chaetoceros,diadema,RCC1717,English channel,5.2008,11.03.2019,positive,f/2,TRUE
ID00444,Chaetoceros,diadema,RCC1717,English channel,5.2008,11.03.2019,positive,f/2,TRUE
ID00445,Chaetoceros,diadema,RCC1717,English channel,5.2008,11.03.2019,positive,f/2,TRUE
ID00446,Chaetoceros,diadema,RCC1717,English channel,5.2008,11.03.2019,positive,f/2,TRUE
ID00447,Chaetoceros,diadema,RCC1717,English channel,5.2008,11.03.2019,positive,f/2,TRUE
ID00448,Chaetoceros,diadema,RCC1717,English channel,5.2008,11.03.2019,positive,f/2,TRUE
ID00449,Chaetoceros,diadema,RCC1717,English channel,5.2008,11.03.2019,positive,f/2,TRUE
ID00450,Chaetoceros,diadema,RCC1717,English channel,5.2008,11.03.2019,positive,f/2,TRUE
ID00451,Chaetoceros,diadema,RCC1717,English channel,5.2008,11.03.2019,positive,f/2,TRUE
ID00452,Chaetoceros,diadema,RCC1717,English channel,5.2008,11.03.2019,positive,f/2,TRUE
ID00453,Chaetoceros,diadema,RCC1717,English channel,5.2008,11.03.2019,positive,f/2,TRUE
ID00454,Chaetoceros,diadema,RCC1717,English channel,5.2008,11.03.2019,positive,f/2,TRUE
ID00455,Chaetoceros,diadema,RCC1717,English channel,5.2008,11.03.2019,positive,f/2,TRUE
ID00456,Chaetoceros,sp.,R-R3,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00457,Chaetoceros,sp.,R-R3,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00458,Chaetoceros,sp.,R-R3,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00459,Chaetoceros,sp.,R-R3,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00460,Chaetoceros,sp.,R-R3,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00461,Chaetoceros,sp.,R-R3,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00462,Chaetoceros,sp.,R-R3,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00463,Chaetoceros,sp.,R-R3,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00464,Chaetoceros,sp.,R-R3,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00465,Chaetoceros,sp.,R-R3,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00466,Chaetoceros,sp.,R-R3,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00467,Chaetoceros,sp.,R-R3,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00468,Chaetoceros,sp.,R-R3,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00469,Chaetoceros,sp.,R-R3,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00470,Chaetoceros,sp.,R-R3,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00471,Chaetoceros,sp.,R-R3,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00472,Chaetoceros,sp.,R-R3,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00004,Coscinodiscus ,wailesii,CW_Helg2016,Helgoland,8.2016,10.07.2018,positive,f/2,TRUE
ID00005,Coscinodiscus ,wailesii,CW_Helg2016,Helgoland,8.2016,10.07.2018,positive,f/2,TRUE
ID00006,Coscinodiscus ,wailesii,CW_Helg2016,Helgoland,8.2016,10.07.2018,positive,f/2,TRUE
ID00007,Coscinodiscus ,wailesii,CW_Helg2016,Helgoland,8.2016,10.07.2018,positive,f/2,TRUE
ID00017,Coscinodiscus ,radiatus,CR1_Helg2017,Helgoland,8.2017,07.08.2018,positive,f/2,TRUE
ID00018,Coscinodiscus ,radiatus,CR1_Helg2017,Helgoland,8.2017,07.08.2018,positive,f/2,TRUE
ID00019,Coscinodiscus ,radiatus,CR1_Helg2017,Helgoland,8.2017,07.08.2018,positive,f/2,TRUE
ID00020,Coscinodiscus ,radiatus,CR1_Helg2017,Helgoland,8.2017,07.08.2018,positive,f/2,TRUE
ID00044,Coscinodiscus ,granii,SCCAP-K1834,Denmark,2012,01.07.2018,positive,f/2,TRUE
ID00045,Coscinodiscus ,granii,SCCAP-K1834,Denmark,2012,01.07.2018,positive,f/2,TRUE
ID00046,Coscinodiscus ,granii,SCCAP-K1834,Denmark,2012,01.07.2018,positive,f/2,TRUE
ID00047,Coscinodiscus ,granii,SCCAP-K1834,Denmark,2012,01.07.2018,positive,f/2,TRUE
ID00048,Coscinodiscus ,granii,CG1_Helg2017,Helgoland,8.2017,07.08.2018,positive,f/2,TRUE
ID00049,Coscinodiscus ,granii,CG1_Helg2017,Helgoland,8.2017,07.08.2018,positive,f/2,TRUE
ID00050,Coscinodiscus ,granii,CG1_Helg2017,Helgoland,8.2017,07.08.2018,positive,f/2,TRUE
ID00364,Coscinodiscus ,sp.,R-R2512,Penze Estuary,6.2018,28.06.2018,positive,Penze,FALSE
ID00378,Coscinodiscus ,sp.,R-R4326,Penze Estuary,6.2018,29.06.2018,positive,Penze,FALSE
ID00379,Coscinodiscus ,sp.,R-R4326,Penze Estuary,6.2018,29.06.2018,positive,Penze,FALSE
ID00714,Coscinodiscus ,granii,Helg2016,Helgoland,8.2016,14.03.2019,positive,f/2,TRUE
ID00715,Coscinodiscus ,granii,Helg2016,Helgoland,8.2016,14.03.2019,positive,f/2,TRUE
ID00716,Coscinodiscus ,granii,Helg2016,Helgoland,8.2016,14.03.2019,positive,f/2,TRUE
ID00717,Coscinodiscus ,granii,Helg2016,Helgoland,8.2016,14.03.2019,positive,f/2,TRUE
ID00718,Coscinodiscus ,granii,Helg2016,Helgoland,8.2016,14.03.2019,positive,f/2,TRUE
ID00719,Coscinodiscus ,granii,Helg2016,Helgoland,8.2016,14.03.2019,positive,f/2,TRUE
ID00720,Coscinodiscus ,granii,Helg2016,Helgoland,8.2016,14.03.2019,positive,f/2,TRUE
ID00721,Coscinodiscus ,granii,Helg2016,Helgoland,8.2016,14.03.2019,positive,f/2,TRUE
ID00722,Coscinodiscus ,granii,Helg2016,Helgoland,8.2016,14.03.2019,positive,f/2,TRUE
ID00723,Coscinodiscus ,granii,Helg2016,Helgoland,8.2016,14.03.2019,positive,f/2,TRUE
ID00724,Coscinodiscus ,granii,Helg2016,Helgoland,8.2016,14.03.2019,positive,f/2,TRUE
ID00725,Coscinodiscus ,granii,Helg2016,Helgoland,8.2016,14.03.2019,positive,f/2,TRUE
ID00726,Coscinodiscus ,granii,Helg2016,Helgoland,8.2016,14.03.2019,positive,f/2,TRUE
ID00727,Coscinodiscus ,granii,Helg2016,Helgoland,8.2016,14.03.2019,positive,f/2,TRUE
ID00728,Coscinodiscus ,granii,Helg2016,Helgoland,8.2016,14.03.2019,positive,f/2,TRUE
ID00729,Coscinodiscus ,granii,Helg2016,Helgoland,8.2016,14.03.2019,positive,f/2,TRUE
ID00730,Coscinodiscus ,granii,Helg2016,Helgoland,8.2016,14.03.2019,positive,f/2,TRUE
ID00731,Coscinodiscus ,granii,Helg2016,Helgoland,8.2016,14.03.2019,positive,f/2,TRUE
ID00732,Coscinodiscus ,granii,Helg2016,Helgoland,8.2016,14.03.2019,positive,f/2,TRUE
ID00733,Coscinodiscus ,granii,Helg2016,Helgoland,8.2016,14.03.2019,positive,f/2,TRUE
ID00734,Coscinodiscus ,granii,SCCAP-K1834,Denmark,2012,14.03.2019,positive,f/2,TRUE
ID00735,Coscinodiscus ,granii,SCCAP-K1834,Denmark,2012,14.03.2019,positive,f/2,TRUE
ID00736,Coscinodiscus ,granii,SCCAP-K1834,Denmark,2012,14.03.2019,positive,f/2,TRUE
ID00737,Coscinodiscus ,granii,SCCAP-K1834,Denmark,2012,14.03.2019,positive,f/2,TRUE
ID00738,Coscinodiscus ,granii,SCCAP-K1834,Denmark,2012,14.03.2019,positive,f/2,TRUE
ID00739,Coscinodiscus ,granii,SCCAP-K1834,Denmark,2012,14.03.2019,positive,f/2,TRUE
ID00740,Coscinodiscus ,granii,SCCAP-K1834,Denmark,2012,14.03.2019,positive,f/2,TRUE
ID00741,Coscinodiscus ,granii,SCCAP-K1834,Denmark,2012,14.03.2019,positive,f/2,TRUE
ID00742,Coscinodiscus ,granii,SCCAP-K1834,Denmark,2012,14.03.2019,positive,f/2,TRUE
ID00743,Coscinodiscus ,granii,SCCAP-K1834,Denmark,2012,14.03.2019,positive,f/2,TRUE
ID00744,Coscinodiscus ,granii,SCCAP-K1834,Denmark,2012,14.03.2019,positive,f/2,TRUE
ID00745,Coscinodiscus ,granii,SCCAP-K1834,Denmark,2012,14.03.2019,positive,f/2,TRUE
ID00746,Coscinodiscus ,granii,SCCAP-K1834,Denmark,2012,14.03.2019,positive,f/2,TRUE
ID00747,Coscinodiscus ,sp.,Norway2017_M2,Norway,9.2017,11.03.2019,positive,f/2,TRUE
ID00748,Coscinodiscus ,sp.,Norway2017_M2,Norway,9.2017,11.03.2019,positive,f/2,TRUE
ID00749,Coscinodiscus ,sp.,Norway2017_M2,Norway,9.2017,11.03.2019,positive,f/2,TRUE
ID00750,Coscinodiscus ,sp.,Norway2017_M2,Norway,9.2017,11.03.2019,positive,f/2,TRUE
ID00751,Coscinodiscus ,sp.,Norway2017_M2,Norway,9.2017,11.03.2019,positive,f/2,TRUE
ID00752,Coscinodiscus ,sp.,Norway2017_M2,Norway,9.2017,11.03.2019,positive,f/2,TRUE
ID00753,Coscinodiscus ,sp.,Norway2017_M2,Norway,9.2017,11.03.2019,positive,f/2,TRUE
ID00754,Coscinodiscus ,sp.,Norway2017_M2,Norway,9.2017,11.03.2019,positive,f/2,TRUE
ID00755,Coscinodiscus ,sp.,Norway2017_M2,Norway,9.2017,11.03.2019,positive,f/2,TRUE
ID00756,Coscinodiscus ,sp.,Norway2017_M2,Norway,9.2017,11.03.2019,positive,f/2,TRUE
ID00757,Coscinodiscus ,sp.,Norway2017_M2,Norway,9.2017,11.03.2019,positive,f/2,TRUE
ID00758,Coscinodiscus ,sp.,Norway2017_M2,Norway,9.2017,11.03.2019,positive,f/2,TRUE
ID00759,Coscinodiscus ,sp.,Norway2017_M2,Norway,9.2017,11.03.2019,positive,f/2,TRUE
ID00760,Coscinodiscus ,sp.,Norway2017_M2,Norway,9.2017,11.03.2019,positive,f/2,TRUE
ID00761,Coscinodiscus ,sp.,Norway2017_M2,Norway,9.2017,11.03.2019,positive,f/2,TRUE
ID00762,Coscinodiscus ,wailesii,Helg2016,Helgoland,8.2016,13.03.2019,positive,f/2,TRUE
ID00763,Coscinodiscus ,wailesii,Helg2016,Helgoland,8.2016,13.03.2019,positive,f/2,TRUE
ID00764,Coscinodiscus ,wailesii,Helg2016,Helgoland,8.2016,13.03.2019,positive,f/2,TRUE
ID00765,Coscinodiscus ,wailesii,Helg2016,Helgoland,8.2016,13.03.2019,positive,f/2,TRUE
ID00766,Coscinodiscus ,wailesii,Helg2016,Helgoland,8.2016,13.03.2019,positive,f/2,TRUE
ID00767,Coscinodiscus ,wailesii,Helg2016,Helgoland,8.2016,13.03.2019,positive,f/2,TRUE
ID00768,Coscinodiscus ,wailesii,Helg2016,Helgoland,8.2016,13.03.2019,positive,f/2,TRUE
ID00769,Coscinodiscus ,wailesii,Helg2016,Helgoland,8.2016,13.03.2019,positive,f/2,TRUE
ID00770,Coscinodiscus ,wailesii,Helg2016,Helgoland,8.2016,13.03.2019,positive,f/2,TRUE
ID00771,Coscinodiscus ,wailesii,Helg2016,Helgoland,8.2016,13.03.2019,positive,f/2,TRUE
ID00473,Coscinodiscus ,radiatus,CR1,Helgoland,8.2017,11.03.2019,positive,f/2,TRUE
ID00474,Coscinodiscus ,radiatus,CR1,Helgoland,8.2017,11.03.2019,positive,f/2,TRUE
ID00475,Coscinodiscus ,radiatus,CR1,Helgoland,8.2017,11.03.2019,positive,f/2,TRUE
ID00476,Coscinodiscus ,radiatus,CR1,Helgoland,8.2017,11.03.2019,positive,f/2,TRUE
ID00477,Coscinodiscus ,radiatus,CR1,Helgoland,8.2017,11.03.2019,positive,f/2,TRUE
ID00478,Coscinodiscus ,radiatus,CR1,Helgoland,8.2017,11.03.2019,positive,f/2,TRUE
ID00479,Coscinodiscus ,radiatus,CR1,Helgoland,8.2017,11.03.2019,positive,f/2,TRUE
ID00480,Coscinodiscus ,radiatus,CR1,Helgoland,8.2017,11.03.2019,positive,f/2,TRUE
ID00481,Coscinodiscus ,radiatus,CR1,Helgoland,8.2017,11.03.2019,positive,f/2,TRUE
ID00482,Coscinodiscus ,radiatus,CR1,Helgoland,8.2017,11.03.2019,positive,f/2,TRUE
ID00483,Coscinodiscus ,radiatus,CR1,Helgoland,8.2017,11.03.2019,positive,f/2,TRUE
ID00484,Coscinodiscus ,radiatus,CR1,Helgoland,8.2017,11.03.2019,positive,f/2,TRUE
ID00485,Coscinodiscus ,radiatus,CR1,Helgoland,8.2017,11.03.2019,positive,f/2,TRUE
ID00486,Coscinodiscus ,radiatus,CR1,Helgoland,8.2017,11.03.2019,positive,f/2,TRUE
ID00487,Ditylum ,sp.,R-R1,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00488,Ditylum ,sp.,R-R1,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00489,Ditylum ,sp.,R-R1,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00490,Ditylum ,sp.,R-R1,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00491,Ditylum ,sp.,R-R1,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00492,Ditylum ,sp.,R-R1,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00493,Ditylum ,sp.,R-R1,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00494,Ditylum ,sp.,R-R1,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00495,Ditylum ,sp.,R-R1,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
